[H[2J[3J----------------  -------  -----------  ------------  -------------  --------------
Fitness type      Mu Size  Lambda Size  Mutation STD  Mutation Rate  Crossover Rate
himmelblau_task3  100      100          1             0.01           0.6
----------------  -------  -----------  ------------  -------------  --------------
########################################################################################
Generation 	 Candidate Evals 	 Best Fit 	 Average Fit 	 % same 	
234 		 46900 			 0.4782 	 47.8005 	 39.0000 %
235 		 47100 			 0.7231 	 55.1019 	 36.0000 %
236 		 47300 			 0.2990 	 61.8985 	 36.0000 %
237 		 47500 			 0.7113 	 49.8768 	 40.0000 %
238 		 47700 			 0.0650 	 57.9391 	 38.0000 %
239 		 47900 			 1.3517 	 66.9608 	 32.0000 %
240 		 48100 			 1.3517 	 70.8816 	 39.0000 %
241 		 48300 			 1.3517 	 59.6302 	 33.0000 %
242 		 48500 			 0.2344 	 63.8800 	 38.0000 %
243 		 48700 			 0.2344 	 53.6457 	 59.0000 %
244 		 48900 			 0.2344 	 52.9463 	 50.0000 %
245 		 49100 			 0.2344 	 51.1204 	 29.0000 %
246 		 49300 			 0.2692 	 46.9444 	 50.0000 %
247 		 49500 			 0.7231 	 48.7395 	 40.0000 %
248 		 49700 			 0.1329 	 40.2981 	 42.0000 %
249 		 49900 			 0.0331 	 43.2637 	 50.0000 %
250 		 50100 			 0.0331 	 44.3752 	 56.0000 %
251 		 50300 			 0.0331 	 44.7467 	 43.0000 %
252 		 50500 			 0.4059 	 47.2871 	 43.0000 %
253 		 50700 			 0.0034 	 47.2179 	 43.0000 %
254 		 50900 			 0.4803 	 48.4888 	 49.0000 %
255 		 51100 			 0.0979 	 43.9319 	 52.0000 %
256 		 51300 			 0.3928 	 47.6144 	 45.0000 %
257 		 51500 			 0.0034 	 45.9698 	 43.0000 %
258 		 51700 			 0.0197 	 47.5167 	 41.0000 %
259 		 51900 			 0.0979 	 58.6504 	 35.0000 %
260 		 52100 			 0.4059 	 70.8173 	 24.0000 %
261 		 52300 			 0.0197 	 69.0764 	 31.0000 %
262 		 52500 			 0.0197 	 72.9790 	 36.0000 %
263 		 52700 			 0.0000 	 74.0829 	 40.0000 %
264 		 52900 			 1.2229 	 85.1023 	 40.0000 %
265 		 53100 			 0.4803 	 83.7622 	 32.0000 %
266 		 53300 			 1.0307 	 76.8185 	 32.0000 %
267 		 53500 			 0.0197 	 78.2827 	 34.0000 %
268 		 53700 			 1.8906 	 70.2946 	 31.0000 %
269 		 53900 			 0.0733 	 67.1082 	 39.0000 %
270 		 54100 			 0.0733 	 70.6538 	 33.0000 %
271 		 54300 			 1.5059 	 74.4506 	 38.0000 %
